"Date Time","Temp","SpCond","Sal","Depth","pH","pH","Turbid+","Chl","Chl","ODOsat","ODO","Battery"
"M/D/Y HH:MM:SS","C","uS","ppt","meters","","mV","NTU","ug/L","RFU","%","mg/L","volts"
"06/09/21 17:46:11",12.63,50438,33.00,0.522,12.00,-305.7,1.4,3.13,0.54,99.9,8.63,11.4
"06/09/21 17:51:11",12.63,50446,33.01,0.523,12.00,-305.5,1.4,3.11,0.53,99.7,8.61,11.5
"06/09/21 17:56:10",12.66,50430,33.00,0.526,12.00,-305.5,1.5,3.25,0.56,99.8,8.62,11.3
"06/09/21 18:01:10",12.70,50419,32.99,0.526,12.00,-305.5,1.0,2.97,0.51,100.1,8.64,11.4
"06/09/21 18:06:11",12.72,50422,33.00,0.525,11.99,-305.5,1.4,2.62,0.45,100.5,8.67,11.4
"06/09/21 18:11:11",12.69,50456,33.02,0.525,11.99,-305.5,1.3,3.48,0.60,100.6,8.68,11.3
"06/09/21 18:16:11",12.67,50459,33.02,0.526,11.99,-305.5,1.2,2.12,0.37,100.1,8.64,11.4
"06/09/21 18:21:11",12.65,50450,33.01,0.524,11.99,-305.4,1.8,2.96,0.51,99.6,8.60,11.4
"06/09/21 18:26:11",12.65,50444,33.01,0.525,11.99,-305.4,1.1,2.59,0.45,99.6,8.60,11.4
"06/09/21 18:31:11",12.68,50421,32.99,0.523,11.99,-305.4,1.4,2.30,0.40,99.6,8.60,11.3
"06/09/21 18:36:11",12.66,50426,33.00,0.524,11.99,-305.4,1.6,3.32,0.57,99.8,8.62,11.4
"06/09/21 18:41:11",12.66,50393,32.97,0.524,11.99,-305.4,1.2,2.23,0.38,99.9,8.63,11.3
"06/09/21 18:46:11",12.68,50399,32.98,0.525,11.99,-305.3,1.1,2.61,0.45,99.0,8.55,11.4
"06/09/21 18:51:11",12.71,50402,32.98,0.532,11.99,-305.3,1.1,2.15,0.37,98.7,8.52,11.5
"06/09/21 18:56:11",12.75,50397,32.98,0.525,11.99,-305.3,0.9,2.55,0.44,98.9,8.53,11.4
"06/09/21 19:01:11",12.77,50391,32.98,0.525,11.99,-305.4,0.7,2.91,0.50,99.5,8.58,11.4
"06/09/21 19:06:11",12.78,50382,32.97,0.525,11.99,-305.4,0.6,2.14,0.37,100.5,8.66,11.3
"06/09/21 19:11:11",12.79,50224,32.85,0.525,11.99,-305.4,0.9,2.79,0.48,101.8,8.77,11.4
"06/09/21 19:16:11",12.81,50224,32.86,0.526,11.99,-305.3,0.6,3.26,0.56,101.5,8.75,11.3
"06/09/21 19:21:11",12.82,50232,32.86,0.525,11.99,-305.3,0.2,2.06,0.35,100.6,8.66,11.4
"06/09/21 19:26:11",12.84,50240,32.87,0.535,11.99,-305.2,0.4,2.56,0.44,100.4,8.65,11.4
"06/09/21 19:31:11",12.86,50231,32.86,0.543,11.99,-305.2,0.3,2.51,0.43,100.2,8.63,11.4
"06/09/21 19:36:11",12.89,50237,32.87,0.551,11.99,-305.2,0.3,1.98,0.34,100.3,8.63,11.4
"06/09/21 19:41:11",12.93,50245,32.88,0.552,11.99,-305.2,0.3,2.15,0.37,100.5,8.64,11.4
"06/09/21 19:46:11",12.97,50251,32.88,0.552,11.99,-305.3,0.5,3.10,0.53,101.0,8.68,11.3
"06/09/21 19:51:11",13.00,50255,32.89,0.552,11.99,-305.3,0.3,2.05,0.35,101.4,8.70,11.3
"06/09/21 19:56:11",13.05,50259,32.89,0.551,11.99,-305.3,0.4,2.90,0.50,102.0,8.75,11.4
"06/09/21 20:01:11",13.08,50272,32.90,0.551,11.99,-305.3,0.4,2.54,0.44,102.6,8.79,11.4
"06/09/21 20:06:11",13.08,50285,32.91,0.550,11.99,-305.3,0.5,2.85,0.49,102.5,8.78,11.4
"06/09/21 20:11:11",13.08,50296,32.92,0.551,11.98,-305.3,0.5,3.46,0.60,102.5,8.78,11.4
"06/09/21 20:16:11",13.08,50298,32.92,0.551,11.98,-305.3,0.5,2.67,0.46,102.7,8.80,11.4
"06/09/21 20:21:11",13.08,50307,32.93,0.551,11.98,-305.2,0.5,3.35,0.58,103.0,8.82,11.4
"06/09/21 20:26:11",13.09,50307,32.93,0.550,11.98,-305.2,0.3,3.65,0.63,103.6,8.87,11.5
"06/09/21 20:31:11",13.10,50307,32.93,0.551,11.98,-305.2,0.3,4.49,0.77,104.7,8.97,11.4
"06/09/21 20:36:11",13.10,50311,32.93,0.552,11.98,-305.2,0.4,4.41,0.76,106.0,9.08,11.4
"06/09/21 20:41:11",13.12,50312,32.93,0.554,11.98,-305.2,0.7,4.49,0.77,106.9,9.15,11.4
