Tue Apr 19 16:13:38 2022    profile_results

         751191 function calls (726689 primitive calls) in 10.073 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000   10.073   10.073 {built-in method builtins.exec}
        1    0.000    0.000   10.073   10.073 <string>:1(<module>)
        1    0.002    0.002   10.073   10.073 /u/pdaniel/ifcb-scripts/test-multi-classify.py:51(classify_roi)
        1    0.000    0.000   10.068   10.068 /u/pdaniel/ifcb-scripts/test-multi-classify.py:43(get_results)
    136/1    0.002    0.000    9.392    9.392 /u/pdaniel/.local/lib/python3.8/site-packages/keras/utils/traceback_utils.py:58(error_handler)
        1    0.001    0.001    9.391    9.391 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/training.py:1825(predict)
  1330/70    0.003    0.000    9.318    0.133 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/util/traceback_utils.py:138(error_handler)
       23    0.001    0.000    8.978    0.390 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/def_function.py:887(__call__)
       23    0.000    0.000    8.976    0.390 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/def_function.py:934(_call)
       23    0.000    0.000    8.523    0.371 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/function.py:1782(_call_flat)
       23    0.001    0.000    8.521    0.370 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/function.py:454(call)
       23    0.000    0.000    8.519    0.370 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/execute.py:29(quick_execute)
       23    8.519    0.370    8.519    0.370 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
       22    0.000    0.000    7.934    0.361 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/function.py:2951(__call__)
        1    0.279    0.279    0.675    0.675 /u/pdaniel/ifcb-scripts/test-multi-classify.py:29(build_image_stack)
  543/365    0.002    0.000    0.650    0.002 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/util/dispatch.py:1068(op_dispatch_handler)
 1222/984    0.001    0.000    0.519    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/profiler/trace.py:178(wrapped)
 1222/984    0.003    0.000    0.519    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:1636(convert_to_tensor)
       26    0.000    0.000    0.469    0.018 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/function.py:3219(_maybe_define_function)
        4    0.000    0.000    0.462    0.116 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/function.py:3112(_create_graph_function)
        4    0.000    0.000    0.455    0.114 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/func_graph.py:967(func_graph_from_py_func)
        1    0.000    0.000    0.445    0.445 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/def_function.py:735(_initialize)
        1    0.000    0.000    0.445    0.445 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/function.py:2978(_get_concrete_function_internal_garbage_collected)
      6/4    0.000    0.000    0.388    0.097 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/impl/api.py:295(converted_call)
        1    0.000    0.000    0.379    0.379 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/def_function.py:658(wrapped_fn)
        1    0.000    0.000    0.379    0.379 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/func_graph.py:1132(autograph_handler)
        1    0.000    0.000    0.356    0.356 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/data_adapter.py:1396(get_data_handler)
        1    0.000    0.000    0.356    0.356 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/data_adapter.py:1096(__init__)
        1    0.000    0.000    0.354    0.354 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/data_adapter.py:225(__init__)
       88    0.000    0.000    0.353    0.004 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/constant_op.py:170(constant)
       88    0.001    0.000    0.353    0.004 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/constant_op.py:271(_constant_impl)
      5/4    0.000    0.000    0.352    0.088 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/impl/api.py:449(_call_unconverted)
        4    0.000    0.000    0.351    0.088 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/autograph/impl/api.py:681(wrapper)
        1    0.000    0.000    0.343    0.343 /tmp/__autograph_generated_filelb_dsyh0.py:8(tf__predict_function)
        1    0.000    0.000    0.343    0.343 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/training.py:1779(step_function)
        1    0.000    0.000    0.342    0.342 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/distribute/distribute_lib.py:1197(run)
        1    0.000    0.000    0.342    0.342 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/distribute/distribute_lib.py:2840(call_for_each_replica)
        1    0.000    0.000    0.342    0.342 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/distribute/distribute_lib.py:3687(_call_for_each_replica)
        1    0.000    0.000    0.341    0.341 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/training.py:1782(run_step)
        1    0.000    0.000    0.340    0.340 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/training.py:1730(predict_step)
    135/1    0.003    0.000    0.340    0.340 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/base_layer.py:981(__call__)
    135/1    0.000    0.000    0.338    0.338 /u/pdaniel/.local/lib/python3.8/site-packages/keras/utils/traceback_utils.py:88(error_handler)
        1    0.000    0.000    0.338    0.338 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/functional.py:432(call)
        1    0.001    0.001    0.338    0.338 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/functional.py:545(_run_internal_graph)
      151    0.001    0.000    0.336    0.002 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/util/nest.py:806(map_structure)
      151    0.000    0.000    0.334    0.002 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/util/nest.py:914(<listcomp>)
       13    0.000    0.000    0.332    0.026 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/tensor_conversion_registry.py:46(_default_conversion_function)
      148    0.000    0.000    0.330    0.002 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:1495(convert_to_tensor_v2_with_dispatch)
      148    0.000    0.000    0.330    0.002 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:1563(convert_to_tensor_v2)
        1    0.000    0.000    0.330    0.330 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/data_adapter.py:1013(_process_tensorlike)
        3    0.000    0.000    0.330    0.110 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/data_adapter.py:1030(_convert_single_tensor)
        9    0.000    0.000    0.330    0.037 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/constant_op.py:302(_constant_eager_impl)
        9    0.330    0.037    0.330    0.037 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/constant_op.py:74(convert_to_eager_tensor)
      722    0.020    0.000    0.322    0.000 /u/pdaniel/ifcb-scripts/test-multi-classify.py:21(prep_image)
  426/340    0.023    0.000    0.269    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/op_def_library.py:313(_apply_op_helper)
      722    0.002    0.000    0.234    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/PIL/Image.py:1905(resize)
      722    0.229    0.000    0.229    0.000 {method 'resize' of 'ImagingCore' objects}
      238    0.000    0.000    0.171    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/resource_variable_ops.py:2097(_dense_var_to_tensor)
      238    0.000    0.000    0.170    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/resource_variable_ops.py:1467(_dense_var_to_tensor)
      238    0.001    0.000    0.170    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/resource_variable_ops.py:614(value)
      266    0.001    0.000    0.167    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/resource_variable_ops.py:714(_read_variable_op)
      266    0.001    0.000    0.160    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/resource_variable_ops.py:717(read_and_set_handle)
      266    0.001    0.000    0.158    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/gen_resource_variable_ops.py:456(read_variable_op)
      750    0.004    0.000    0.156    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/func_graph.py:628(_create_op_internal)
      750    0.007    0.000    0.150    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:3717(_create_op_internal)
       40    0.000    0.000    0.147    0.004 /u/pdaniel/.local/lib/python3.8/site-packages/keras/layers/normalization/batch_normalization.py:745(call)
       40    0.000    0.000    0.147    0.004 /u/pdaniel/.local/lib/python3.8/site-packages/keras/layers/normalization/batch_normalization.py:544(_fused_batch_norm)
       40    0.000    0.000    0.145    0.004 /u/pdaniel/.local/lib/python3.8/site-packages/keras/utils/control_flow_util.py:83(smart_cond)
       40    0.000    0.000    0.145    0.004 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/smart_cond.py:24(smart_cond)
       40    0.000    0.000    0.145    0.004 /u/pdaniel/.local/lib/python3.8/site-packages/keras/layers/normalization/batch_normalization.py:604(_fused_batch_norm_inference)
       40    0.000    0.000    0.145    0.004 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/nn_impl.py:1594(fused_batch_norm)
       34    0.000    0.000    0.125    0.004 /u/pdaniel/.local/lib/python3.8/site-packages/keras/layers/convolutional.py:2249(call)
       34    0.000    0.000    0.124    0.004 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/nn_impl.py:994(separable_conv2d)
      750    0.011    0.000    0.100    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:2037(__init__)
       40    0.000    0.000    0.086    0.002 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/gen_nn_ops.py:4244(fused_batch_norm_v3)
      929    0.001    0.000    0.067    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/func_graph.py:697(capture)
      723    0.002    0.000    0.065    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pyifcb-0.0.1-py3.8.egg/ifcb/data/utils.py:63(items)
      239    0.001    0.000    0.065    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/func_graph.py:761(_capture_helper)
      722    0.001    0.000    0.064    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pyifcb-0.0.1-py3.8.egg/ifcb/data/roi.py:143(__getitem__)
      239    0.001    0.000    0.063    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/func_graph.py:1298(_create_substitute_placeholder)
      722    0.004    0.000    0.063    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pyifcb-0.0.1-py3.8.egg/ifcb/data/roi.py:102(get_image)
        4    0.005    0.001    0.058    0.015 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/auto_control_deps.py:347(__exit__)
      245    0.003    0.000    0.053    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/eager/graph_only_ops.py:25(graph_placeholder)
      750    0.008    0.000    0.048    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:1960(_create_c_op)
      722    0.002    0.000    0.048    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/keras_preprocessing/image/utils.py:289(img_to_array)
      722    0.003    0.000    0.046    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/pyifcb-0.0.1-py3.8.egg/ifcb/data/roi.py:114(<listcomp>)
  764/763    0.005    0.000    0.045    0.000 {built-in method numpy.asarray}
8151/4242    0.004    0.000    0.043    0.000 {built-in method builtins.next}
       71    0.042    0.001    0.042    0.001 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
      988    0.003    0.000    0.042    0.000 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/framework/auto_control_deps.py:661(_get_resource_inputs)
      722    0.003    0.000    0.039    0.000 /u/pdaniel/anaconda3/lib/python3.8/site-packages/PIL/Image.py:684(__array__)
       34    0.000    0.000    0.038    0.001 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/ops/nn_ops.py:536(with_space_to_batch)
        2    0.000    0.000    0.038    0.019 /u/pdaniel/.local/lib/python3.8/site-packages/keras/engine/data_adapter.py:1188(enumerate_epochs)
      833    0.000    0.000    0.038    0.000 {built-in method builtins.iter}
        3    0.000    0.000    0.037    0.012 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/iterator_ops.py:714(__init__)
        1    0.000    0.000    0.037    0.037 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/dataset_ops.py:473(__iter__)
        1    0.000    0.000    0.037    0.037 /u/pdaniel/.local/lib/python3.8/site-packages/tensorflow/python/data/ops/iterator_ops.py:759(_create_iterator)
